    Andalucía	1179.29	578.84	40.95	7.32	1765.45	40.61	1806.06	114.39	275.28	1416.39	
    Aragón	1197.53	668.43	32.46	12.67	1878.63	63.59	1942.22	121.2	312.89	1508.13	
    Asturias, Principado de	1256.25	628.34	38.1	13.82	1898.41	24.24	1922.65	124.32	324.69	1473.64	
    Balears, Illes	1252.94	531.28	35.62	5.92	1790.14	39.79	1829.93	116.17	274.54	1439.22	
    Canarias	1069.69	504.82	17.79	5.66	1580.17	17.65	1597.82	102.04	222.15	1273.63	
    Cantabria	1264.43	564.61	48.24	10.82	1839.86	48.63	1888.49	121.37	310.13	1456.99	
    Castilla y León	1165.56	547.23	38.99	7.09	1719.88	43.18	1763.06	113.19	269.43	1380.44	
    Castilla - La Mancha	1133.28	517.45	37.01	8.37	1659.1	17.85	1676.95	109.31	242.75	1324.89	
    Cataluña	1370.96	672.6	29.69	13.33	2056.89	31.04	2087.93	131.12	371.43	1585.38	
    Comunitat Valenciana	1188.37	581.38	29.15	10.82	1780.57	26.15	1806.72	114.56	284.25	1407.91	
    Extremadura	1037.1	534.2	30.75	5.85	1577.15	19.92	1597.07	101.77	219.91	1275.39	
    Galicia	1220.71	462.84	22.15	7.25	1690.8	18.84	1709.64	112.61	262.8	1334.23	
    Madrid, Comunidad de	1409.1	699.48	20.55	7.76	2116.34	43.16	2159.5	132.27	401.84	1625.39	
    Murcia, Región de	1163.53	615.1	34.74	6.13	1784.76	37.41	1822.17	115.09	275.11	1431.97	
    Navarra, Comunidad Foral de	1566.25	560.8	42.73	8.35	2135.4	24.02	2159.42	141.39	345.83	1672.2	
    País Vasco	1647.96	667.92	39.78	6.62	2322.5	59.1	2381.6	146.64	389.65	1845.31	
    Rioja, La	1339.85	561.44	29.08	16.27	1917.56	12.1	1929.66	122.74	311.65	1495.27	
    Ciudades de Ceuta y Melilla	988.85	876.6	56.49	0.43	1865.88	44.12	1910.0	113.85	180.49	1615.66	
