"","Autonomous Region","Gender","Wage Type","Quantity"
"1","Andalucía","F","Basic Salary",949.21
"2","Aragón","F","Basic Salary",952.63
"3","Asturias, Principado de","F","Basic Salary",963.7
"4","Balears, Illes","F","Basic Salary",1096.76
"5","Canarias","F","Basic Salary",985.85
"6","Cantabria","F","Basic Salary",996.11
"7","Castilla y León","F","Basic Salary",949.31
"8","Castilla - La Mancha","F","Basic Salary",921.65
"9","Cataluña","F","Basic Salary",1118.19
"10","Comunitat Valenciana","F","Basic Salary",952.7
"11","Extremadura","F","Basic Salary",848.42
"12","Galicia","F","Basic Salary",988.12
"13","Madrid, Comunidad de","F","Basic Salary",1178.92
"14","Murcia, Región de","F","Basic Salary",910.24
"15","Navarra, Comunidad Foral de","F","Basic Salary",1183.99
"16","País Vasco","F","Basic Salary",1329.18
"17","Rioja, La","F","Basic Salary",1006.48
"18","Ciudades de Ceuta y Melilla","F","Basic Salary",951.08
"19","Andalucía","M","Basic Salary",1179.29
"20","Aragón","M","Basic Salary",1197.53
"21","Asturias, Principado de","M","Basic Salary",1256.25
"22","Balears, Illes","M","Basic Salary",1252.94
"23","Canarias","M","Basic Salary",1069.69
"24","Cantabria","M","Basic Salary",1264.43
"25","Castilla y León","M","Basic Salary",1165.56
"26","Castilla - La Mancha","M","Basic Salary",1133.28
"27","Cataluña","M","Basic Salary",1370.96
"28","Comunitat Valenciana","M","Basic Salary",1188.37
"29","Extremadura","M","Basic Salary",1037.1
"30","Galicia","M","Basic Salary",1220.71
"31","Madrid, Comunidad de","M","Basic Salary",1409.1
"32","Murcia, Región de","M","Basic Salary",1163.53
"33","Navarra, Comunidad Foral de","M","Basic Salary",1566.25
"34","País Vasco","M","Basic Salary",1647.96
"35","Rioja, La","M","Basic Salary",1339.85
"36","Ciudades de Ceuta y Melilla","M","Basic Salary",988.85
"37","Andalucía","F","Salary complements",361.41
"38","Aragón","F","Salary complements",455.45
"39","Asturias, Principado de","F","Salary complements",428.78
"40","Balears, Illes","F","Salary complements",391.11
"41","Canarias","F","Salary complements",396.73
"42","Cantabria","F","Salary complements",357.69
"43","Castilla y León","F","Salary complements",425.86
"44","Castilla - La Mancha","F","Salary complements",403.71
"45","Cataluña","F","Salary complements",428.05
"46","Comunitat Valenciana","F","Salary complements",395.65
"47","Extremadura","F","Salary complements",467.13
"48","Galicia","F","Salary complements",380.4
"49","Madrid, Comunidad de","F","Salary complements",495.93
"50","Murcia, Región de","F","Salary complements",464.95
"51","Navarra, Comunidad Foral de","F","Salary complements",325.79
"52","País Vasco","F","Salary complements",463.2
"53","Rioja, La","F","Salary complements",443.4
"54","Ciudades de Ceuta y Melilla","F","Salary complements",876.82
"55","Andalucía","M","Salary complements",578.84
"56","Aragón","M","Salary complements",668.43
"57","Asturias, Principado de","M","Salary complements",628.34
"58","Balears, Illes","M","Salary complements",531.28
"59","Canarias","M","Salary complements",504.82
"60","Cantabria","M","Salary complements",564.61
"61","Castilla y León","M","Salary complements",547.23
"62","Castilla - La Mancha","M","Salary complements",517.45
"63","Cataluña","M","Salary complements",672.6
"64","Comunitat Valenciana","M","Salary complements",581.38
"65","Extremadura","M","Salary complements",534.2
"66","Galicia","M","Salary complements",462.84
"67","Madrid, Comunidad de","M","Salary complements",699.48
"68","Murcia, Región de","M","Salary complements",615.1
"69","Navarra, Comunidad Foral de","M","Salary complements",560.8
"70","País Vasco","M","Salary complements",667.92
"71","Rioja, La","M","Salary complements",561.44
"72","Ciudades de Ceuta y Melilla","M","Salary complements",876.6
"73","Andalucía","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",16.27
"74","Aragón","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",26.72
"75","Asturias, Principado de","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",33.46
"76","Balears, Illes","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",21.51
"77","Canarias","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",15.96
"78","Cantabria","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",28.3
"79","Castilla y León","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",35.12
"80","Castilla - La Mancha","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",27.64
"81","Cataluña","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",17.85
"82","Comunitat Valenciana","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",22.28
"83","Extremadura","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",37.34
"84","Galicia","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",28.39
"85","Madrid, Comunidad de","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",15.6
"86","Murcia, Región de","F","Salary complements for reasons of night,sightseeing or working 
         during the weekend",26.43
